Server_Date,Weekday,Voltage,Current,Power,Frequency,Energy,Power_Factor,ESP32_Temperature,Workstation_CPU,Workstation_CPU_Power,Workstation_CPU_Temperature,Workstation_GPU,Workstation_GPU_Power,Workstation_GPU_Temperature,Workstation_RAM,Workstation_RAM_Power
2021-05-26 13:00:00,3.0,119.99375,0.99125,104.9625,59.99375,47.5,0.881875,33.158125,1.98125,0.0,0.0,0.01,0.0,0.0,28.9375,0.0
2021-05-26 13:10:00,3.0,120.02053962806704,0.9436920611874513,97.928895443939,59.96913573903411,47.50739655172414,0.8647911874513872,33.28417127301011,0.963610325971669,0.0,0.0,0.0021837596341952063,0.0,0.0,28.935166521318973,0.0
2021-05-26 13:20:00,3.0,120.01942430067018,0.9429198714745191,97.77587206396802,59.96030882635605,47.52368965517242,0.8642583035405373,33.464384916516096,0.9377287446020579,0.0,0.0,0.001286729071361755,0.0,0.0,28.92819092376888,0.0
2021-05-26 13:30:00,3.0,120.01666166542797,0.9430550151740368,97.75065929642017,59.96653829121764,47.54,0.8640109175647218,33.65533052149139,0.918332621082621,0.0,0.0,0.001568019943019943,0.0,0.0,28.929425956893347,0.0
2021-05-26 13:40:00,3.0,120.02657013816324,0.9445090015093462,98.09025968884245,59.97106174387553,47.5555,0.8650017996052479,33.74396494717288,1.0607839196563336,0.0,0.0,0.0025820434227330777,0.0,0.0,29.016958585858582,0.0
2021-05-26 13:50:00,3.0,120.01495790416479,0.9593412601822339,100.13303441251108,59.95599914532166,47.57240196078432,0.868939190367892,33.7113168425782,1.5408280925745428,0.0,0.0,0.006063286004056796,0.0,0.0,29.06253520572283,0.0
2021-05-26 14:00:00,3.0,120.01338475499092,0.9731741710598335,101.92148748307551,59.979209374009734,47.590333333333334,0.8717927145449831,31.339073776395015,1.2294212542851382,0.0,0.0,0.009088223432143577,0.0,0.0,27.450743237403856,0.0
2021-05-26 14:10:00,3.0,119.93797944557134,1.0733508857336038,115.38655578093305,59.96407275185936,47.6065,0.8937235564570656,33.339622636916836,6.074312373225152,0.0,0.0,0.0017333333333333333,0.0,0.0,24.962639215686274,0.0
2021-05-26 14:20:00,3.0,120.02535095364405,0.9774136752136752,102.3786514041514,59.97796825396826,47.6245,0.8718957433371226,33.633930386089006,1.569954065091996,0.0,0.0,0.00012454212454212455,0.0,0.0,24.846393457117596,0.0
2021-05-26 14:30:00,3.0,120.04253122543446,0.9312675989370106,95.86954203414345,59.97553912875495,47.64227777777778,0.8595267748478701,33.770066664933,0.25022455574625957,0.0,0.0,0.0,0.0,0.0,24.85414039730835,0.0
